location	variant	date	sequences
Belgium	21I	2021-12-12	7
Brazil	21I	2021-12-12	1
Canada	21I	2021-12-12	48
Croatia	21I	2021-12-12	2
Denmark	21I	2021-12-12	14
France	21I	2021-12-12	12
Germany	21I	2021-12-12	12
Italy	21I	2021-12-12	4
Japan	21I	2021-12-12	1
Lithuania	21I	2021-12-12	1
Malaysia	21I	2021-12-12	6
Netherlands	21I	2021-12-12	13
Poland	21I	2021-12-12	5
Russia	21I	2021-12-12	1
Slovakia	21I	2021-12-12	1
Slovenia	21I	2021-12-12	2
South Korea	21I	2021-12-12	49
Spain	21I	2021-12-12	3
Sweden	21I	2021-12-12	7
Switzerland	21I	2021-12-12	1
USA	21I	2021-12-12	111
United Kingdom	21I	2021-12-12	22
Belgium	21I	2021-12-13	11
Brazil	21I	2021-12-13	2
Canada	21I	2021-12-13	77
Chile	21I	2021-12-13	1
Croatia	21I	2021-12-13	8
Denmark	21I	2021-12-13	13
France	21I	2021-12-13	112
Germany	21I	2021-12-13	42
Greece	21I	2021-12-13	1
Italy	21I	2021-12-13	8
Japan	21I	2021-12-13	3
Malaysia	21I	2021-12-13	16
Netherlands	21I	2021-12-13	13
Peru	21I	2021-12-13	3
Poland	21I	2021-12-13	7
Russia	21I	2021-12-13	1
Singapore	21I	2021-12-13	2
Slovakia	21I	2021-12-13	2
Slovenia	21I	2021-12-13	5
South Korea	21I	2021-12-13	41
Spain	21I	2021-12-13	6
Sweden	21I	2021-12-13	40
Switzerland	21I	2021-12-13	9
USA	21I	2021-12-13	211
United Kingdom	21I	2021-12-13	41
Belgium	21I	2021-12-14	7
Canada	21I	2021-12-14	80
Croatia	21I	2021-12-14	9
Denmark	21I	2021-12-14	7
France	21I	2021-12-14	20
Germany	21I	2021-12-14	35
Ireland	21I	2021-12-14	26
Italy	21I	2021-12-14	27
Japan	21I	2021-12-14	3
Malaysia	21I	2021-12-14	25
Netherlands	21I	2021-12-14	21
Poland	21I	2021-12-14	3
Russia	21I	2021-12-14	1
Singapore	21I	2021-12-14	2
Slovenia	21I	2021-12-14	2
South Korea	21I	2021-12-14	72
Spain	21I	2021-12-14	17
Sweden	21I	2021-12-14	22
Switzerland	21I	2021-12-14	13
USA	21I	2021-12-14	183
United Kingdom	21I	2021-12-14	26
Australia	21I	2021-12-15	1
Belgium	21I	2021-12-15	11
Brazil	21I	2021-12-15	3
Canada	21I	2021-12-15	52
Croatia	21I	2021-12-15	13
Denmark	21I	2021-12-15	6
Finland	21I	2021-12-15	1
France	21I	2021-12-15	17
Germany	21I	2021-12-15	38
Japan	21I	2021-12-15	4
Lithuania	21I	2021-12-15	2
Malaysia	21I	2021-12-15	12
Netherlands	21I	2021-12-15	18
Poland	21I	2021-12-15	2
Singapore	21I	2021-12-15	1
Slovenia	21I	2021-12-15	10
South Korea	21I	2021-12-15	132
Spain	21I	2021-12-15	9
Sweden	21I	2021-12-15	16
Switzerland	21I	2021-12-15	4
USA	21I	2021-12-15	170
United Kingdom	21I	2021-12-15	22
Australia	21I	2021-12-16	1
Austria	21I	2021-12-16	1
Belgium	21I	2021-12-16	8
Brazil	21I	2021-12-16	3
Canada	21I	2021-12-16	26
Chile	21I	2021-12-16	1
Croatia	21I	2021-12-16	11
Denmark	21I	2021-12-16	7
France	21I	2021-12-16	11
Germany	21I	2021-12-16	37
Italy	21I	2021-12-16	5
Lithuania	21I	2021-12-16	1
Malaysia	21I	2021-12-16	14
Netherlands	21I	2021-12-16	13
Poland	21I	2021-12-16	1
Russia	21I	2021-12-16	1
Singapore	21I	2021-12-16	1
Slovenia	21I	2021-12-16	5
South Korea	21I	2021-12-16	87
Spain	21I	2021-12-16	2
Sweden	21I	2021-12-16	15
Switzerland	21I	2021-12-16	2
USA	21I	2021-12-16	158
United Kingdom	21I	2021-12-16	19
Austria	21I	2021-12-17	2
Belgium	21I	2021-12-17	9
Brazil	21I	2021-12-17	1
Canada	21I	2021-12-17	20
Chile	21I	2021-12-17	1
Croatia	21I	2021-12-17	7
Denmark	21I	2021-12-17	3
Finland	21I	2021-12-17	1
France	21I	2021-12-17	16
Germany	21I	2021-12-17	19
Greece	21I	2021-12-17	1
Italy	21I	2021-12-17	4
Japan	21I	2021-12-17	1
Malaysia	21I	2021-12-17	15
Netherlands	21I	2021-12-17	11
Poland	21I	2021-12-17	1
Russia	21I	2021-12-17	2
Singapore	21I	2021-12-17	1
Slovakia	21I	2021-12-17	1
Slovenia	21I	2021-12-17	2
South Korea	21I	2021-12-17	42
Spain	21I	2021-12-17	10
Sweden	21I	2021-12-17	5
Switzerland	21I	2021-12-17	11
USA	21I	2021-12-17	134
United Kingdom	21I	2021-12-17	11
Belgium	21I	2021-12-18	3
Canada	21I	2021-12-18	15
Chile	21I	2021-12-18	1
Denmark	21I	2021-12-18	3
France	21I	2021-12-18	9
Germany	21I	2021-12-18	16
Greece	21I	2021-12-18	1
Italy	21I	2021-12-18	3
Japan	21I	2021-12-18	1
Malaysia	21I	2021-12-18	14
Netherlands	21I	2021-12-18	10
Poland	21I	2021-12-18	5
Russia	21I	2021-12-18	1
Slovakia	21I	2021-12-18	1
South Korea	21I	2021-12-18	59
Sweden	21I	2021-12-18	8
Switzerland	21I	2021-12-18	6
USA	21I	2021-12-18	84
United Kingdom	21I	2021-12-18	19
Belgium	21I	2021-12-19	3
Brazil	21I	2021-12-19	2
Canada	21I	2021-12-19	9
Denmark	21I	2021-12-19	4
Finland	21I	2021-12-19	1
France	21I	2021-12-19	7
Germany	21I	2021-12-19	1
Italy	21I	2021-12-19	6
Malaysia	21I	2021-12-19	18
Netherlands	21I	2021-12-19	7
Slovakia	21I	2021-12-19	1
South Korea	21I	2021-12-19	46
Spain	21I	2021-12-19	3
Sweden	21I	2021-12-19	4
Switzerland	21I	2021-12-19	3
USA	21I	2021-12-19	66
United Kingdom	21I	2021-12-19	16
Belgium	21I	2021-12-20	11
Brazil	21I	2021-12-20	5
Canada	21I	2021-12-20	34
Croatia	21I	2021-12-20	4
Denmark	21I	2021-12-20	4
France	21I	2021-12-20	100
Germany	21I	2021-12-20	41
Italy	21I	2021-12-20	18
Japan	21I	2021-12-20	3
Lithuania	21I	2021-12-20	1
Malaysia	21I	2021-12-20	21
Netherlands	21I	2021-12-20	14
Peru	21I	2021-12-20	1
Poland	21I	2021-12-20	4
Russia	21I	2021-12-20	1
Singapore	21I	2021-12-20	1
Slovakia	21I	2021-12-20	1
Slovenia	21I	2021-12-20	7
South Korea	21I	2021-12-20	26
Spain	21I	2021-12-20	4
Sweden	21I	2021-12-20	33
Switzerland	21I	2021-12-20	10
USA	21I	2021-12-20	127
United Kingdom	21I	2021-12-20	14
Belgium	21I	2021-12-21	6
Brazil	21I	2021-12-21	4
Canada	21I	2021-12-21	14
Croatia	21I	2021-12-21	10
Denmark	21I	2021-12-21	3
France	21I	2021-12-21	10
Germany	21I	2021-12-21	27
Italy	21I	2021-12-21	3
Japan	21I	2021-12-21	5
Lithuania	21I	2021-12-21	1
Malaysia	21I	2021-12-21	19
Netherlands	21I	2021-12-21	15
Poland	21I	2021-12-21	2
Russia	21I	2021-12-21	3
Slovenia	21I	2021-12-21	2
South Korea	21I	2021-12-21	28
Spain	21I	2021-12-21	3
Sweden	21I	2021-12-21	6
Switzerland	21I	2021-12-21	6
USA	21I	2021-12-21	120
United Kingdom	21I	2021-12-21	2
Australia	21I	2021-12-22	1
Belgium	21I	2021-12-22	6
Brazil	21I	2021-12-22	3
Canada	21I	2021-12-22	8
Croatia	21I	2021-12-22	2
Denmark	21I	2021-12-22	2
France	21I	2021-12-22	9
Germany	21I	2021-12-22	31
Italy	21I	2021-12-22	4
Japan	21I	2021-12-22	1
Lithuania	21I	2021-12-22	1
Malaysia	21I	2021-12-22	13
Netherlands	21I	2021-12-22	10
Peru	21I	2021-12-22	3
Poland	21I	2021-12-22	8
Russia	21I	2021-12-22	3
Slovakia	21I	2021-12-22	1
Slovenia	21I	2021-12-22	1
South Korea	21I	2021-12-22	59
Spain	21I	2021-12-22	4
Sweden	21I	2021-12-22	5
Switzerland	21I	2021-12-22	1
USA	21I	2021-12-22	96
United Kingdom	21I	2021-12-22	2
Belgium	21I	2021-12-23	5
Brazil	21I	2021-12-23	2
Canada	21I	2021-12-23	13
Croatia	21I	2021-12-23	22
Denmark	21I	2021-12-23	7
France	21I	2021-12-23	6
Germany	21I	2021-12-23	28
Italy	21I	2021-12-23	13
Japan	21I	2021-12-23	5
Lithuania	21I	2021-12-23	1
Malaysia	21I	2021-12-23	11
Netherlands	21I	2021-12-23	10
Peru	21I	2021-12-23	1
Poland	21I	2021-12-23	1
Slovakia	21I	2021-12-23	1
Slovenia	21I	2021-12-23	6
South Korea	21I	2021-12-23	43
Spain	21I	2021-12-23	3
Sweden	21I	2021-12-23	11
Switzerland	21I	2021-12-23	3
USA	21I	2021-12-23	71
Belgium	21I	2021-12-24	2
Brazil	21I	2021-12-24	1
Canada	21I	2021-12-24	12
Croatia	21I	2021-12-24	1
France	21I	2021-12-24	8
Germany	21I	2021-12-24	15
Italy	21I	2021-12-24	6
Japan	21I	2021-12-24	6
Malaysia	21I	2021-12-24	14
Netherlands	21I	2021-12-24	7
Peru	21I	2021-12-24	1
Poland	21I	2021-12-24	8
Slovenia	21I	2021-12-24	1
South Korea	21I	2021-12-24	55
Spain	21I	2021-12-24	4
Sweden	21I	2021-12-24	4
USA	21I	2021-12-24	25
United Kingdom	21I	2021-12-24	10
Belgium	21I	2021-12-25	3
Canada	21I	2021-12-25	2
Chile	21I	2021-12-25	1
Denmark	21I	2021-12-25	1
France	21I	2021-12-25	7
Germany	21I	2021-12-25	5
Italy	21I	2021-12-25	6
Japan	21I	2021-12-25	1
Malaysia	21I	2021-12-25	5
Netherlands	21I	2021-12-25	9
Poland	21I	2021-12-25	4
South Korea	21I	2021-12-25	68
Spain	21I	2021-12-25	3
Sweden	21I	2021-12-25	3
USA	21I	2021-12-25	11
Belgium	21I	2021-12-26	3
Canada	21I	2021-12-26	2
France	21I	2021-12-26	6
Germany	21I	2021-12-26	6
Japan	21I	2021-12-26	1
Malaysia	21I	2021-12-26	4
Netherlands	21I	2021-12-26	6
Slovakia	21I	2021-12-26	2
Slovenia	21I	2021-12-26	2
South Korea	21I	2021-12-26	40
Spain	21I	2021-12-26	2
Sweden	21I	2021-12-26	2
Switzerland	21I	2021-12-26	2
USA	21I	2021-12-26	37
United Kingdom	21I	2021-12-26	1
Belgium	21I	2021-12-27	1
Brazil	21I	2021-12-27	1
Canada	21I	2021-12-27	10
Croatia	21I	2021-12-27	10
Denmark	21I	2021-12-27	1
France	21I	2021-12-27	63
Germany	21I	2021-12-27	12
Italy	21I	2021-12-27	2
Japan	21I	2021-12-27	2
Malaysia	21I	2021-12-27	12
Netherlands	21I	2021-12-27	10
Russia	21I	2021-12-27	1
Singapore	21I	2021-12-27	1
Slovakia	21I	2021-12-27	3
Slovenia	21I	2021-12-27	3
South Korea	21I	2021-12-27	47
Spain	21I	2021-12-27	3
Sweden	21I	2021-12-27	5
Switzerland	21I	2021-12-27	3
USA	21I	2021-12-27	55
United Kingdom	21I	2021-12-27	3
Belgium	21I	2021-12-28	3
Canada	21I	2021-12-28	5
Croatia	21I	2021-12-28	9
Denmark	21I	2021-12-28	5
France	21I	2021-12-28	14
Germany	21I	2021-12-28	4
Ireland	21I	2021-12-28	1
Japan	21I	2021-12-28	2
Malaysia	21I	2021-12-28	3
Netherlands	21I	2021-12-28	5
Poland	21I	2021-12-28	2
Slovakia	21I	2021-12-28	1
Slovenia	21I	2021-12-28	2
South Korea	21I	2021-12-28	27
Spain	21I	2021-12-28	9
Sweden	21I	2021-12-28	7
Switzerland	21I	2021-12-28	5
USA	21I	2021-12-28	68
United Kingdom	21I	2021-12-28	1
Austria	21I	2021-12-29	1
Belgium	21I	2021-12-29	3
Brazil	21I	2021-12-29	1
Canada	21I	2021-12-29	4
Croatia	21I	2021-12-29	3
France	21I	2021-12-29	9
Germany	21I	2021-12-29	6
Japan	21I	2021-12-29	2
Malaysia	21I	2021-12-29	10
Netherlands	21I	2021-12-29	5
New Zealand	21I	2021-12-29	1
Poland	21I	2021-12-29	3
Russia	21I	2021-12-29	2
Slovakia	21I	2021-12-29	1
Slovenia	21I	2021-12-29	4
South Korea	21I	2021-12-29	41
Spain	21I	2021-12-29	1
Sweden	21I	2021-12-29	6
Switzerland	21I	2021-12-29	3
USA	21I	2021-12-29	30
United Kingdom	21I	2021-12-29	2
Belgium	21I	2021-12-30	3
Canada	21I	2021-12-30	4
Croatia	21I	2021-12-30	11
Denmark	21I	2021-12-30	2
France	21I	2021-12-30	10
Germany	21I	2021-12-30	24
Italy	21I	2021-12-30	4
Japan	21I	2021-12-30	1
Lithuania	21I	2021-12-30	1
Malaysia	21I	2021-12-30	5
Netherlands	21I	2021-12-30	4
Poland	21I	2021-12-30	2
Russia	21I	2021-12-30	2
Slovakia	21I	2021-12-30	1
Slovenia	21I	2021-12-30	2
South Korea	21I	2021-12-30	16
USA	21I	2021-12-30	29
Austria	21I	2021-12-31	1
Brazil	21I	2021-12-31	1
Canada	21I	2021-12-31	4
Croatia	21I	2021-12-31	4
France	21I	2021-12-31	8
Germany	21I	2021-12-31	6
Italy	21I	2021-12-31	2
Lithuania	21I	2021-12-31	1
Malaysia	21I	2021-12-31	4
Netherlands	21I	2021-12-31	5
Poland	21I	2021-12-31	4
Slovakia	21I	2021-12-31	1
Slovenia	21I	2021-12-31	1
South Korea	21I	2021-12-31	15
Sweden	21I	2021-12-31	1
Switzerland	21I	2021-12-31	2
USA	21I	2021-12-31	11
United Kingdom	21I	2021-12-31	2
Austria	21I	2022-01-01	1
Belgium	21I	2022-01-01	2
Canada	21I	2022-01-01	1
China	21I	2022-01-01	1
Denmark	21I	2022-01-01	2
France	21I	2022-01-01	6
Germany	21I	2022-01-01	3
Japan	21I	2022-01-01	1
Malaysia	21I	2022-01-01	2
Poland	21I	2022-01-01	1
Slovenia	21I	2022-01-01	1
South Korea	21I	2022-01-01	36
Sweden	21I	2022-01-01	1
USA	21I	2022-01-01	11
United Kingdom	21I	2022-01-01	2
Brazil	21I	2022-01-02	3
Canada	21I	2022-01-02	1
Croatia	21I	2022-01-02	1
Denmark	21I	2022-01-02	3
France	21I	2022-01-02	3
Germany	21I	2022-01-02	5
Japan	21I	2022-01-02	1
Malaysia	21I	2022-01-02	9
Netherlands	21I	2022-01-02	4
Poland	21I	2022-01-02	1
South Korea	21I	2022-01-02	43
Spain	21I	2022-01-02	1
Sweden	21I	2022-01-02	1
USA	21I	2022-01-02	13
Belgium	21I	2022-01-03	2
Brazil	21I	2022-01-03	2
Canada	21I	2022-01-03	2
Croatia	21I	2022-01-03	2
Denmark	21I	2022-01-03	1
France	21I	2022-01-03	21
Germany	21I	2022-01-03	22
Italy	21I	2022-01-03	3
Japan	21I	2022-01-03	4
Malaysia	21I	2022-01-03	7
Netherlands	21I	2022-01-03	2
Poland	21I	2022-01-03	7
Russia	21I	2022-01-03	1
Slovenia	21I	2022-01-03	3
South Korea	21I	2022-01-03	38
Spain	21I	2022-01-03	1
Sweden	21I	2022-01-03	3
Switzerland	21I	2022-01-03	3
USA	21I	2022-01-03	15
United Kingdom	21I	2022-01-03	2
Austria	21I	2022-01-04	4
Belgium	21I	2022-01-04	3
Canada	21I	2022-01-04	1
Chile	21I	2022-01-04	1
Croatia	21I	2022-01-04	3
France	21I	2022-01-04	4
Germany	21I	2022-01-04	12
Ireland	21I	2022-01-04	2
Italy	21I	2022-01-04	3
Japan	21I	2022-01-04	1
Lithuania	21I	2022-01-04	1
Malaysia	21I	2022-01-04	10
Netherlands	21I	2022-01-04	1
Poland	21I	2022-01-04	4
Singapore	21I	2022-01-04	1
South Korea	21I	2022-01-04	64
Spain	21I	2022-01-04	2
Sweden	21I	2022-01-04	1
Switzerland	21I	2022-01-04	1
USA	21I	2022-01-04	23
United Kingdom	21I	2022-01-04	2
Belgium	21I	2022-01-05	2
Brazil	21I	2022-01-05	2
Croatia	21I	2022-01-05	3
Denmark	21I	2022-01-05	2
France	21I	2022-01-05	7
Germany	21I	2022-01-05	5
Japan	21I	2022-01-05	1
Malaysia	21I	2022-01-05	13
Netherlands	21I	2022-01-05	1
Poland	21I	2022-01-05	5
Russia	21I	2022-01-05	1
Slovenia	21I	2022-01-05	1
South Korea	21I	2022-01-05	45
Spain	21I	2022-01-05	2
Sweden	21I	2022-01-05	1
Switzerland	21I	2022-01-05	2
USA	21I	2022-01-05	11
Belgium	21I	2022-01-06	1
Brazil	21I	2022-01-06	1
Canada	21I	2022-01-06	3
France	21I	2022-01-06	3
Germany	21I	2022-01-06	5
Japan	21I	2022-01-06	1
Malaysia	21I	2022-01-06	4
Netherlands	21I	2022-01-06	2
Poland	21I	2022-01-06	2
Slovakia	21I	2022-01-06	1
South Korea	21I	2022-01-06	23
Spain	21I	2022-01-06	1
Switzerland	21I	2022-01-06	1
USA	21I	2022-01-06	12
Austria	21I	2022-01-07	2
Belgium	21I	2022-01-07	2
Canada	21I	2022-01-07	4
Croatia	21I	2022-01-07	2
Denmark	21I	2022-01-07	1
France	21I	2022-01-07	4
Germany	21I	2022-01-07	8
Japan	21I	2022-01-07	1
Malaysia	21I	2022-01-07	2
Netherlands	21I	2022-01-07	2
Poland	21I	2022-01-07	4
Slovakia	21I	2022-01-07	1
Slovenia	21I	2022-01-07	1
South Korea	21I	2022-01-07	46
Spain	21I	2022-01-07	2
USA	21I	2022-01-07	5
Brazil	21I	2022-01-08	1
Canada	21I	2022-01-08	1
Croatia	21I	2022-01-08	1
Denmark	21I	2022-01-08	1
France	21I	2022-01-08	1
Germany	21I	2022-01-08	2
Malaysia	21I	2022-01-08	4
Netherlands	21I	2022-01-08	2
Poland	21I	2022-01-08	3
Singapore	21I	2022-01-08	1
South Korea	21I	2022-01-08	18
Spain	21I	2022-01-08	1
Sweden	21I	2022-01-08	1
USA	21I	2022-01-08	7
Belgium	21I	2022-01-09	1
Canada	21I	2022-01-09	3
Japan	21I	2022-01-09	1
Malaysia	21I	2022-01-09	12
Poland	21I	2022-01-09	4
South Korea	21I	2022-01-09	24
USA	21I	2022-01-09	8
United Kingdom	21I	2022-01-09	1
Belgium	21I	2022-01-10	1
Canada	21I	2022-01-10	2
Croatia	21I	2022-01-10	2
France	21I	2022-01-10	10
Germany	21I	2022-01-10	11
Italy	21I	2022-01-10	2
Malaysia	21I	2022-01-10	8
Netherlands	21I	2022-01-10	3
Poland	21I	2022-01-10	3
Slovakia	21I	2022-01-10	2
South Korea	21I	2022-01-10	23
Spain	21I	2022-01-10	1
Sweden	21I	2022-01-10	2
Switzerland	21I	2022-01-10	1
USA	21I	2022-01-10	9
United Kingdom	21I	2022-01-10	1
Denmark	21I	2022-01-11	1
France	21I	2022-01-11	2
Germany	21I	2022-01-11	8
Italy	21I	2022-01-11	1
Japan	21I	2022-01-11	3
Malaysia	21I	2022-01-11	9
Poland	21I	2022-01-11	2
Slovakia	21I	2022-01-11	1
South Korea	21I	2022-01-11	4
Sweden	21I	2022-01-11	1
Switzerland	21I	2022-01-11	1
USA	21I	2022-01-11	4
United Kingdom	21I	2022-01-11	2
Belgium	21I	2022-01-12	1
Canada	21I	2022-01-12	3
Germany	21I	2022-01-12	5
Malaysia	21I	2022-01-12	3
Netherlands	21I	2022-01-12	1
Poland	21I	2022-01-12	1
South Korea	21I	2022-01-12	8
Spain	21I	2022-01-12	5
Sweden	21I	2022-01-12	1
USA	21I	2022-01-12	3
Canada	21I	2022-01-13	2
Croatia	21I	2022-01-13	3
Denmark	21I	2022-01-13	1
Germany	21I	2022-01-13	4
Japan	21I	2022-01-13	1
Malaysia	21I	2022-01-13	1
Poland	21I	2022-01-13	1
Russia	21I	2022-01-13	1
South Korea	21I	2022-01-13	6
Spain	21I	2022-01-13	1
USA	21I	2022-01-13	7
Brazil	21I	2022-01-14	1
Croatia	21I	2022-01-14	1
Germany	21I	2022-01-14	6
Malaysia	21I	2022-01-14	1
Slovakia	21I	2022-01-14	1
South Korea	21I	2022-01-14	17
USA	21I	2022-01-14	4
United Kingdom	21I	2022-01-14	1
China	21I	2022-01-15	1
France	21I	2022-01-15	2
Japan	21I	2022-01-15	1
Malaysia	21I	2022-01-15	2
South Korea	21I	2022-01-15	20
USA	21I	2022-01-15	6
United Kingdom	21I	2022-01-15	1
Canada	21I	2022-01-16	1
Italy	21I	2022-01-16	1
Malaysia	21I	2022-01-16	2
Netherlands	21I	2022-01-16	1
South Korea	21I	2022-01-16	2
USA	21I	2022-01-16	1
France	21I	2022-01-17	5
Germany	21I	2022-01-17	3
Ireland	21I	2022-01-17	1
Italy	21I	2022-01-17	1
Malaysia	21I	2022-01-17	2
Poland	21I	2022-01-17	1
Slovakia	21I	2022-01-17	1
South Korea	21I	2022-01-17	8
USA	21I	2022-01-17	2
Canada	21I	2022-01-18	1
Germany	21I	2022-01-18	4
Italy	21I	2022-01-18	2
Malaysia	21I	2022-01-18	1
Poland	21I	2022-01-18	1
South Korea	21I	2022-01-18	4
USA	21I	2022-01-18	1
Germany	21I	2022-01-19	1
Ireland	21I	2022-01-19	1
Italy	21I	2022-01-19	1
South Korea	21I	2022-01-19	10
Spain	21I	2022-01-19	2
Switzerland	21I	2022-01-19	1
USA	21I	2022-01-19	2
United Kingdom	21I	2022-01-19	1
Germany	21I	2022-01-20	4
Malaysia	21I	2022-01-20	3
Poland	21I	2022-01-20	1
South Korea	21I	2022-01-20	8
Switzerland	21I	2022-01-20	1
USA	21I	2022-01-20	2
United Kingdom	21I	2022-01-20	1
Canada	21I	2022-01-21	2
Italy	21I	2022-01-21	1
Malaysia	21I	2022-01-21	5
South Korea	21I	2022-01-21	9
Canada	21I	2022-01-22	3
Germany	21I	2022-01-22	1
Malaysia	21I	2022-01-22	5
South Korea	21I	2022-01-22	4
USA	21I	2022-01-22	1
Canada	21I	2022-01-23	1
France	21I	2022-01-23	1
Malaysia	21I	2022-01-23	1
South Korea	21I	2022-01-23	1
USA	21I	2022-01-23	1
Belgium	21I	2022-01-24	1
France	21I	2022-01-24	2
Malaysia	21I	2022-01-24	2
Slovakia	21I	2022-01-24	1
South Korea	21I	2022-01-24	3
USA	21I	2022-01-24	1
France	21I	2022-01-25	1
Germany	21I	2022-01-25	2
South Korea	21I	2022-01-25	5
Spain	21I	2022-01-25	1
USA	21I	2022-01-25	3
Australia	21I	2022-01-26	1
France	21I	2022-01-26	1
Malaysia	21I	2022-01-26	1
USA	21I	2022-01-26	1
Canada	21I	2022-01-27	1
France	21I	2022-01-27	1
Malaysia	21I	2022-01-27	5
USA	21I	2022-01-27	2
Belgium	21I	2022-01-28	1
Canada	21I	2022-01-28	1
Croatia	21I	2022-01-28	1
France	21I	2022-01-28	1
United Kingdom	21I	2022-01-28	1
Japan	21I	2022-01-29	1
Malaysia	21I	2022-01-29	2
USA	21I	2022-01-29	2
Canada	21I	2022-01-30	1
Italy	21I	2022-01-30	1
Netherlands	21I	2022-01-30	1
South Korea	21I	2022-01-30	1
France	21I	2022-01-31	1
Malaysia	21I	2022-01-31	2
South Korea	21I	2022-01-31	1
USA	21I	2022-01-31	1
Canada	21I	2022-02-01	2
USA	21I	2022-02-01	2
United Kingdom	21I	2022-02-01	1
Australia	21I	2022-02-02	2
Croatia	21I	2022-02-02	1
France	21I	2022-02-02	1
Germany	21I	2022-02-02	2
Slovakia	21I	2022-02-02	1
Spain	21I	2022-02-02	1
USA	21I	2022-02-02	2
Australia	21I	2022-02-03	2
Belgium	21I	2022-02-03	1
Malaysia	21I	2022-02-03	2
United Kingdom	21I	2022-02-04	1
United Kingdom	21I	2022-02-05	1
USA	21I	2022-02-06	1
USA	21I	2022-02-07	1
Malaysia	21I	2022-02-08	1
Spain	21I	2022-02-08	2
USA	21I	2022-02-08	2
United Kingdom	21I	2022-02-08	1
Netherlands	21I	2022-02-09	1
Spain	21I	2022-02-09	1
South Korea	21I	2022-02-10	1
China	21I	2022-02-11	1
USA	21I	2022-02-11	1
Malaysia	21I	2022-02-12	2
Italy	21I	2022-02-16	1
Netherlands	21I	2022-02-16	1
Australia	21I	2022-02-17	2
Malaysia	21I	2022-02-17	1
Australia	21I	2022-02-20	1
France	21I	2022-02-20	1
Japan	21I	2022-02-20	1
Australia	21I	2022-02-22	1
Canada	21I	2022-02-25	1
Australia	21I	2022-02-28	1
Spain	21I	2022-02-28	1
Spain	21I	2022-03-03	1
Australia	21I	2022-03-04	1
USA	21I	2022-03-04	1
France	21I	2022-03-08	1
Malaysia	21I	2022-03-11	7
Japan	21I	2022-03-17	1
Spain	21I	2022-03-17	1
Australia	21I	2022-03-22	1
Japan	21I	2022-03-27	1
USA	21I	2022-03-28	1
Japan	21I	2022-04-07	1
USA	21I	2022-04-09	1
USA	21I	2022-04-19	1
Canada	21I	2022-04-26	1
Canada	21I	2022-04-28	1
Malaysia	21I	2022-05-09	1
Spain	21I	2022-05-26	1
Belgium	21I	2022-07-21	1
Spain	21I	2022-12-17	13
Australia	21J	2021-12-12	223
Austria	21J	2021-12-12	45
Belgium	21J	2021-12-12	126
Brazil	21J	2021-12-12	55
Canada	21J	2021-12-12	495
Chile	21J	2021-12-12	32
China	21J	2021-12-12	5
Croatia	21J	2021-12-12	22
Denmark	21J	2021-12-12	894
Finland	21J	2021-12-12	37
France	21J	2021-12-12	214
Germany	21J	2021-12-12	361
Greece	21J	2021-12-12	27
Ireland	21J	2021-12-12	6
Italy	21J	2021-12-12	53
Japan	21J	2021-12-12	14
Lithuania	21J	2021-12-12	24
Malaysia	21J	2021-12-12	18
Netherlands	21J	2021-12-12	258
New Zealand	21J	2021-12-12	21
Peru	21J	2021-12-12	44
Poland	21J	2021-12-12	167
Russia	21J	2021-12-12	195
Singapore	21J	2021-12-12	18
Slovakia	21J	2021-12-12	46
Slovenia	21J	2021-12-12	70
South Korea	21J	2021-12-12	36
Spain	21J	2021-12-12	219
Sweden	21J	2021-12-12	127
Switzerland	21J	2021-12-12	200
USA	21J	2021-12-12	3610
United Kingdom	21J	2021-12-12	5426
Australia	21J	2021-12-13	176
Austria	21J	2021-12-13	12
Belgium	21J	2021-12-13	287
Brazil	21J	2021-12-13	351
Canada	21J	2021-12-13	697
Chile	21J	2021-12-13	79
China	21J	2021-12-13	1
Croatia	21J	2021-12-13	209
Denmark	21J	2021-12-13	1187
Finland	21J	2021-12-13	140
France	21J	2021-12-13	4360
Germany	21J	2021-12-13	2362
Greece	21J	2021-12-13	106
Ireland	21J	2021-12-13	78
Italy	21J	2021-12-13	276
Japan	21J	2021-12-13	48
Lithuania	21J	2021-12-13	149
Malaysia	21J	2021-12-13	29
Netherlands	21J	2021-12-13	257
New Zealand	21J	2021-12-13	14
Peru	21J	2021-12-13	129
Poland	21J	2021-12-13	346
Russia	21J	2021-12-13	281
Singapore	21J	2021-12-13	11
Slovakia	21J	2021-12-13	11
Slovenia	21J	2021-12-13	212
South Korea	21J	2021-12-13	34
Spain	21J	2021-12-13	343
Sweden	21J	2021-12-13	639
Switzerland	21J	2021-12-13	434
USA	21J	2021-12-13	8038
United Kingdom	21J	2021-12-13	5953
Australia	21J	2021-12-14	209
Austria	21J	2021-12-14	10
Belgium	21J	2021-12-14	251
Brazil	21J	2021-12-14	271
Canada	21J	2021-12-14	525
Chile	21J	2021-12-14	77
China	21J	2021-12-14	1
Croatia	21J	2021-12-14	413
Denmark	21J	2021-12-14	513
Finland	21J	2021-12-14	67
France	21J	2021-12-14	634
Germany	21J	2021-12-14	2332
Greece	21J	2021-12-14	58
Ireland	21J	2021-12-14	953
Italy	21J	2021-12-14	437
Japan	21J	2021-12-14	31
Lithuania	21J	2021-12-14	117
Malaysia	21J	2021-12-14	22
Netherlands	21J	2021-12-14	248
New Zealand	21J	2021-12-14	19
