"location"	"date"	"cases"
"United Kingdom"	"2022-01-04"	"284.813"
"United Kingdom"	"2022-01-05"	"280.198"
"United Kingdom"	"2022-01-06"	"263.475"
"United Kingdom"	"2022-01-07"	"243.756"
"United Kingdom"	"2022-01-08"	"209.587"
"United Kingdom"	"2022-01-09"	"185.65"
"United Kingdom"	"2022-01-10"	"168.64"
"United Kingdom"	"2022-01-11"	"161.009"
"United Kingdom"	"2022-01-12"	"157.589"
"United Kingdom"	"2022-01-13"	"158.232"
"United Kingdom"	"2022-01-14"	"157.833"
"United Kingdom"	"2022-01-15"	"158.427"
"United Kingdom"	"2022-01-16"	"160.298"
"United Kingdom"	"2022-01-17"	"161.018"
"United Kingdom"	"2022-01-18"	"162.038"
"United Kingdom"	"2022-01-19"	"162.718"
"United Kingdom"	"2022-01-20"	"163.473"
"United Kingdom"	"2022-01-21"	"162.058"
"United Kingdom"	"2022-01-22"	"160.437"
"United Kingdom"	"2022-01-23"	"159.385"
"United Kingdom"	"2022-01-24"	"158.306"
"United Kingdom"	"2022-01-25"	"156.394"
"United Kingdom"	"2022-01-26"	"154.491"
"United Kingdom"	"2022-01-27"	"151.026"
"United Kingdom"	"2022-01-28"	"145.736"
"United Kingdom"	"2022-01-29"	"141.03"
"United Kingdom"	"2022-01-30"	"136.104"
"United Kingdom"	"2022-01-31"	"131.333"
"United Kingdom"	"2022-02-01"	"126.452"
"United Kingdom"	"2022-02-02"	"121.402"
"United Kingdom"	"2022-02-03"	"115.064"
"United Kingdom"	"2022-02-04"	"108.472"
"United Kingdom"	"2022-02-05"	"102.584"
"United Kingdom"	"2022-02-06"	"96.741"
"United Kingdom"	"2022-02-07"	"90.948"
"United Kingdom"	"2022-02-08"	"86.453"
"United Kingdom"	"2022-02-09"	"82.857"
"United Kingdom"	"2022-02-10"	"78.31"
"United Kingdom"	"2022-02-11"	"73.16"
"United Kingdom"	"2022-02-12"	"69.257"
"United Kingdom"	"2022-02-13"	"66.305"
"United Kingdom"	"2022-02-14"	"64.477"
"United Kingdom"	"2022-02-15"	"61.92"
"United Kingdom"	"2022-02-16"	"61.228"
"United Kingdom"	"2022-02-17"	"60.229"
"United Kingdom"	"2022-02-18"	"57.815"
"United Kingdom"	"2022-02-19"	"54.72"
"United Kingdom"	"2022-02-20"	"51.291"
"United Kingdom"	"2022-02-21"	"48.156"
"United Kingdom"	"2022-02-22"	"46.78"
"United Kingdom"	"2022-02-23"	"44.528"
"United Kingdom"	"2022-02-24"	"42.934"
"United Kingdom"	"2022-02-25"	"42.636"
"United Kingdom"	"2022-02-26"	"43.618"
"United Kingdom"	"2022-02-27"	"45.494"
"United Kingdom"	"2022-02-28"	"47.957"
"United Kingdom"	"2022-03-01"	"50.782"
"United Kingdom"	"2022-03-02"	"53.565"
"United Kingdom"	"2022-03-03"	"57.074"
"United Kingdom"	"2022-03-04"	"61.952"
"United Kingdom"	"2022-03-05"	"67.179"
"United Kingdom"	"2022-03-06"	"72.827"
"United Kingdom"	"2022-03-07"	"78.637"
"United Kingdom"	"2022-03-08"	"84.166"
"United Kingdom"	"2022-03-09"	"89.437"
"United Kingdom"	"2022-03-10"	"95.653"
"United Kingdom"	"2022-03-11"	"102.935"
"United Kingdom"	"2022-03-12"	"108.488"
"United Kingdom"	"2022-03-13"	"113.199"
"United Kingdom"	"2022-03-14"	"116.615"
"United Kingdom"	"2022-03-15"	"119.074"
"United Kingdom"	"2022-03-16"	"120.617"
"United Kingdom"	"2022-03-17"	"122.31"
"United Kingdom"	"2022-03-18"	"124.962"
"United Kingdom"	"2022-03-19"	"126.938"
"United Kingdom"	"2022-03-20"	"127.868"
"United Kingdom"	"2022-03-21"	"128.102"
"United Kingdom"	"2022-03-22"	"127.682"
"United Kingdom"	"2022-03-23"	"126.805"
"United Kingdom"	"2022-03-24"	"124.533"
"United Kingdom"	"2022-03-25"	"121.727"
"United Kingdom"	"2022-03-26"	"118.051"
"United Kingdom"	"2022-03-27"	"114.261"
"United Kingdom"	"2022-03-28"	"108.462"
"United Kingdom"	"2022-03-29"	"103.38"
"United Kingdom"	"2022-03-30"	"98.233"
"United Kingdom"	"2022-03-31"	"92.518"
"United Kingdom"	"2022-04-01"	"83.9"
"United Kingdom"	"2022-04-02"	"76.997"
"United Kingdom"	"2022-04-03"	"70.398"
"United Kingdom"	"2022-04-04"	"66.791"
"United Kingdom"	"2022-04-05"	"63.487"
"United Kingdom"	"2022-04-06"	"61.293"
"United Kingdom"	"2022-04-07"	"58.751"
"United Kingdom"	"2022-04-08"	"55.039"
"United Kingdom"	"2022-04-09"	"51.719"
"United Kingdom"	"2022-04-10"	"48.814"
"United Kingdom"	"2022-04-11"	"46.183"
"United Kingdom"	"2022-04-12"	"43.609"
"United Kingdom"	"2022-04-13"	"41.842"
"United Kingdom"	"2022-04-14"	"39.448"
"United Kingdom"	"2022-04-15"	"36.888"
"United Kingdom"	"2022-04-16"	"35.156"
"United Kingdom"	"2022-04-17"	"32.978"
"United Kingdom"	"2022-04-18"	"31.214"
"United Kingdom"	"2022-04-19"	"29.994"
"United Kingdom"	"2022-04-20"	"28.586"
"United Kingdom"	"2022-04-21"	"27.464"
"United Kingdom"	"2022-04-22"	"25.636"
"United Kingdom"	"2022-04-23"	"23.262"
"United Kingdom"	"2022-04-24"	"21.513"
"United Kingdom"	"2022-04-25"	"20.119"
"United Kingdom"	"2022-04-26"	"18.962"
"United Kingdom"	"2022-04-27"	"18.015"
"United Kingdom"	"2022-04-28"	"16.956"
"United Kingdom"	"2022-04-29"	"16.176"
"United Kingdom"	"2022-04-30"	"16.141"
"United Kingdom"	"2022-05-01"	"16.055"
"United Kingdom"	"2022-05-02"	"15.937"
"United Kingdom"	"2022-05-03"	"15.816"
"United Kingdom"	"2022-05-04"	"15.686"
"United Kingdom"	"2022-05-05"	"15.672"
"United Kingdom"	"2022-05-06"	"15.299"
"United Kingdom"	"2022-05-07"	"14.533"
"United Kingdom"	"2022-05-08"	"13.89"
"United Kingdom"	"2022-05-09"	"13.324"
"United Kingdom"	"2022-05-10"	"12.884"
"United Kingdom"	"2022-05-11"	"12.574"
"United Kingdom"	"2022-05-12"	"12.335"
"United Kingdom"	"2022-05-13"	"12.082"
"United Kingdom"	"2022-05-14"	"11.745"
"United Kingdom"	"2022-05-15"	"11.522"
"United Kingdom"	"2022-05-16"	"11.371"
"United Kingdom"	"2022-05-17"	"11.181"
"United Kingdom"	"2022-05-18"	"10.952"
"United Kingdom"	"2022-05-19"	"10.549"
"United Kingdom"	"2022-05-20"	"10.131"
"United Kingdom"	"2022-05-21"	"9.815"
"United Kingdom"	"2022-05-22"	"9.508"
"United Kingdom"	"2022-05-23"	"9.262"
"United Kingdom"	"2022-05-24"	"9.121"
"United Kingdom"	"2022-05-25"	"9.098"
"United Kingdom"	"2022-05-26"	"8.979"
"United Kingdom"	"2022-05-27"	"8.898"
"United Kingdom"	"2022-05-28"	"8.934"
"United Kingdom"	"2022-05-29"	"9.067"
"United Kingdom"	"2022-05-30"	"9.133"
"United Kingdom"	"2022-05-31"	"9.411"
"United Kingdom"	"2022-06-01"	"9.953"
"United Kingdom"	"2022-06-02"	"10.888"
"United Kingdom"	"2022-06-03"	"11.876"
"United Kingdom"	"2022-06-04"	"12.833"
"United Kingdom"	"2022-06-05"	"13.915"
"United Kingdom"	"2022-06-06"	"15.066"
"United Kingdom"	"2022-06-07"	"15.977"
"United Kingdom"	"2022-06-08"	"16.536"
"United Kingdom"	"2022-06-09"	"17.14"
"United Kingdom"	"2022-06-10"	"17.946"
"United Kingdom"	"2022-06-11"	"18.756"
"United Kingdom"	"2022-06-12"	"19.378"
"United Kingdom"	"2022-06-13"	"19.971"
"United Kingdom"	"2022-06-14"	"20.606"
"United Kingdom"	"2022-06-15"	"21.414"
"United Kingdom"	"2022-06-16"	"22.385"
"United Kingdom"	"2022-06-17"	"23.397"
"United Kingdom"	"2022-06-18"	"24.64"
"United Kingdom"	"2022-06-19"	"26.012"
"United Kingdom"	"2022-06-20"	"27.233"
"United Kingdom"	"2022-06-21"	"28.251"
"United Kingdom"	"2022-06-22"	"28.976"
"United Kingdom"	"2022-06-23"	"29.873"
"United Kingdom"	"2022-06-24"	"31.143"
"United Kingdom"	"2022-06-25"	"32.25"
"United Kingdom"	"2022-06-26"	"33.26"
"United Kingdom"	"2022-06-27"	"34.488"
"United Kingdom"	"2022-06-28"	"35.876"
"United Kingdom"	"2022-06-29"	"37.18"
"United Kingdom"	"2022-06-30"	"39."
"United Kingdom"	"2022-07-01"	"41.167"
"United Kingdom"	"2022-07-02"	"42.761"
"United Kingdom"	"2022-07-03"	"44.043"
"United Kingdom"	"2022-07-04"	"44.69"
"United Kingdom"	"2022-07-05"	"44.972"
"United Kingdom"	"2022-07-06"	"44.913"
"United Kingdom"	"2022-07-07"	"44.37"
"United Kingdom"	"2022-07-08"	"43.557"
"United Kingdom"	"2022-07-09"	"42.602"
"United Kingdom"	"2022-07-10"	"41.3"
"United Kingdom"	"2022-07-11"	"40.098"
"United Kingdom"	"2022-07-12"	"38.683"
"United Kingdom"	"2022-07-13"	"37.233"
"United Kingdom"	"2022-07-14"	"35.359"
"United Kingdom"	"2022-07-15"	"32.736"
"United Kingdom"	"2022-07-16"	"30.309"
"United Kingdom"	"2022-07-17"	"28.495"
"United Kingdom"	"2022-07-18"	"26.824"
"United Kingdom"	"2022-07-19"	"25.433"
"United Kingdom"	"2022-07-20"	"24.218"
"United Kingdom"	"2022-07-21"	"22.818"
"United Kingdom"	"2022-07-22"	"21.544"
"United Kingdom"	"2022-07-23"	"20.425"
"United Kingdom"	"2022-07-24"	"19.124"
"United Kingdom"	"2022-07-25"	"17.988"
"United Kingdom"	"2022-07-26"	"17.072"
"United Kingdom"	"2022-07-27"	"16.485"
"United Kingdom"	"2022-07-28"	"15.836"
"United Kingdom"	"2022-07-29"	"15.041"
"United Kingdom"	"2022-07-30"	"14.45"
"United Kingdom"	"2022-07-31"	"13.936"
"United Kingdom"	"2022-08-01"	"13.473"
"United Kingdom"	"2022-08-02"	"13.033"
"United Kingdom"	"2022-08-03"	"12.584"
"United Kingdom"	"2022-08-04"	"12.131"
"United Kingdom"	"2022-08-05"	"11.725"
"United Kingdom"	"2022-08-06"	"11.291"
"United Kingdom"	"2022-08-07"	"10.929"
"United Kingdom"	"2022-08-08"	"10.653"
"United Kingdom"	"2022-08-09"	"10.377"
"United Kingdom"	"2022-08-10"	"10.154"
"United Kingdom"	"2022-08-11"	"9.87"
"United Kingdom"	"2022-08-12"	"9.455"
"United Kingdom"	"2022-08-13"	"9.039"
"United Kingdom"	"2022-08-14"	"8.627"
"United Kingdom"	"2022-08-15"	"8.227"
"United Kingdom"	"2022-08-16"	"7.854"
"United Kingdom"	"2022-08-17"	"7.565"
"United Kingdom"	"2022-08-18"	"7.25"
"United Kingdom"	"2022-08-19"	"6.988"
"United Kingdom"	"2022-08-20"	"6.796"
"United Kingdom"	"2022-08-21"	"6.674"
