"location"	"date"	"cases"
"United Kingdom"	"2022-08-22"	"6.517"
"United Kingdom"	"2022-08-23"	"6.436"
"United Kingdom"	"2022-08-24"	"6.375"
"United Kingdom"	"2022-08-25"	"6.205"
"United Kingdom"	"2022-08-26"	"6.042"
"United Kingdom"	"2022-08-27"	"6.144"
"United Kingdom"	"2022-08-28"	"6.159"
"United Kingdom"	"2022-08-29"	"6.285"
"United Kingdom"	"2022-08-30"	"6.347"
"United Kingdom"	"2022-08-31"	"6.44"
"United Kingdom"	"2022-09-01"	"6.664"
"United Kingdom"	"2022-09-02"	"6.779"
"United Kingdom"	"2022-09-03"	"6.643"
"United Kingdom"	"2022-09-04"	"6.585"
"United Kingdom"	"2022-09-05"	"6.455"
"United Kingdom"	"2022-09-06"	"6.42"
"United Kingdom"	"2022-09-07"	"6.392"
"United Kingdom"	"2022-09-08"	"6.426"
"United Kingdom"	"2022-09-09"	"6.52"
"United Kingdom"	"2022-09-10"	"6.689"
"United Kingdom"	"2022-09-11"	"6.868"
"United Kingdom"	"2022-09-12"	"7.111"
"United Kingdom"	"2022-09-13"	"7.271"
"United Kingdom"	"2022-09-14"	"7.354"
"United Kingdom"	"2022-09-15"	"7.368"
"United Kingdom"	"2022-09-16"	"7.609"
"United Kingdom"	"2022-09-17"	"8.272"
"United Kingdom"	"2022-09-18"	"8.907"
"United Kingdom"	"2022-09-19"	"9.441"
"United Kingdom"	"2022-09-20"	"10.022"
"United Kingdom"	"2022-09-21"	"10.564"
"United Kingdom"	"2022-09-22"	"11.277"
"United Kingdom"	"2022-09-23"	"11.874"
"United Kingdom"	"2022-09-24"	"11.987"
"United Kingdom"	"2022-09-25"	"12.208"
"United Kingdom"	"2022-09-26"	"12.478"
"United Kingdom"	"2022-09-27"	"12.757"
"United Kingdom"	"2022-09-28"	"13.077"
"United Kingdom"	"2022-09-29"	"13.557"
"United Kingdom"	"2022-09-30"	"14.282"
"United Kingdom"	"2022-10-01"	"14.946"
"United Kingdom"	"2022-10-02"	"15.389"
"United Kingdom"	"2022-10-03"	"15.764"
"United Kingdom"	"2022-10-04"	"16.079"
"United Kingdom"	"2022-10-05"	"16.083"
"United Kingdom"	"2022-10-06"	"15.929"
"United Kingdom"	"2022-10-07"	"15.662"
"United Kingdom"	"2022-10-08"	"15.288"
"United Kingdom"	"2022-10-09"	"14.925"
"United Kingdom"	"2022-10-10"	"14.605"
"United Kingdom"	"2022-10-11"	"14.352"
"United Kingdom"	"2022-10-12"	"14.205"
"United Kingdom"	"2022-10-13"	"14.012"
"United Kingdom"	"2022-10-14"	"13.875"
"United Kingdom"	"2022-10-15"	"13.59"
"United Kingdom"	"2022-10-16"	"13.314"
"United Kingdom"	"2022-10-17"	"12.934"
"United Kingdom"	"2022-10-18"	"12.53"
"United Kingdom"	"2022-10-19"	"12.153"
"United Kingdom"	"2022-10-20"	"11.58"
"United Kingdom"	"2022-10-21"	"10.776"
"United Kingdom"	"2022-10-22"	"10.142"
"United Kingdom"	"2022-10-23"	"9.602"
"United Kingdom"	"2022-10-24"	"9.168"
"United Kingdom"	"2022-10-25"	"8.697"
"United Kingdom"	"2022-10-26"	"8.365"
"United Kingdom"	"2022-10-27"	"8.063"
"United Kingdom"	"2022-10-28"	"7.677"
"United Kingdom"	"2022-10-29"	"7.399"
"United Kingdom"	"2022-10-30"	"7.06"
"United Kingdom"	"2022-10-31"	"6.777"
"United Kingdom"	"2022-11-01"	"6.482"
"United Kingdom"	"2022-11-02"	"6.264"
"United Kingdom"	"2022-11-03"	"6.032"
"United Kingdom"	"2022-11-04"	"5.839"
"United Kingdom"	"2022-11-05"	"5.658"
"United Kingdom"	"2022-11-06"	"5.552"
"United Kingdom"	"2022-11-07"	"5.436"
"United Kingdom"	"2022-11-08"	"5.386"
"United Kingdom"	"2022-11-09"	"5.334"
"United Kingdom"	"2022-11-10"	"5.265"
"United Kingdom"	"2022-11-11"	"5.167"
"United Kingdom"	"2022-11-12"	"5.111"
"United Kingdom"	"2022-11-13"	"5.046"
"United Kingdom"	"2022-11-14"	"5.02"
"United Kingdom"	"2022-11-15"	"5.005"
"United Kingdom"	"2022-11-16"	"5.013"
"United Kingdom"	"2022-11-17"	"5.004"
"United Kingdom"	"2022-11-18"	"5.018"
"United Kingdom"	"2022-11-19"	"5.093"
"United Kingdom"	"2022-11-20"	"5.171"
"United Kingdom"	"2022-11-21"	"5.248"
"United Kingdom"	"2022-11-22"	"5.284"
"United Kingdom"	"2022-11-23"	"5.309"
"United Kingdom"	"2022-11-24"	"5.446"
"United Kingdom"	"2022-11-25"	"5.622"
"United Kingdom"	"2022-11-26"	"5.755"
"United Kingdom"	"2022-11-27"	"5.849"
"United Kingdom"	"2022-11-28"	"5.902"
"United Kingdom"	"2022-11-29"	"6.064"
"United Kingdom"	"2022-11-30"	"6.109"
"United Kingdom"	"2022-12-01"	"6.175"
"United Kingdom"	"2022-12-02"	"6.332"
"United Kingdom"	"2022-12-03"	"6.533"
"United Kingdom"	"2022-12-04"	"6.797"
"United Kingdom"	"2022-12-05"	"7.021"
"United Kingdom"	"2022-12-06"	"7.161"
"United Kingdom"	"2022-12-07"	"7.366"
"United Kingdom"	"2022-12-08"	"7.574"
"United Kingdom"	"2022-12-09"	"7.957"
"United Kingdom"	"2022-12-10"	"8.396"
"United Kingdom"	"2022-12-11"	"8.734"
"United Kingdom"	"2022-12-12"	"9.106"
"United Kingdom"	"2022-12-13"	"9.54"
"United Kingdom"	"2022-12-14"	"9.792"
"United Kingdom"	"2022-12-15"	"10.044"
"United Kingdom"	"2022-12-16"	"10.526"
"United Kingdom"	"2022-12-17"	"10.871"
"United Kingdom"	"2022-12-18"	"11.145"
"United Kingdom"	"2022-12-19"	"11.322"
"United Kingdom"	"2022-12-20"	"11.244"
"United Kingdom"	"2022-12-21"	"11.118"
"United Kingdom"	"2022-12-22"	"10.652"
"United Kingdom"	"2022-12-23"	"9.695"
"United Kingdom"	"2022-12-24"	"9.22"
"United Kingdom"	"2022-12-25"	"9.365"
"United Kingdom"	"2022-12-26"	"9.548"
"United Kingdom"	"2022-12-27"	"9.624"
"United Kingdom"	"2022-12-28"	"9.653"
"United Kingdom"	"2022-12-29"	"9.641"
"United Kingdom"	"2022-12-30"	"9.678"
"United Kingdom"	"2022-12-31"	"9.617"
"United Kingdom"	"2023-01-01"	"8.955"
"United Kingdom"	"2023-01-02"	"8.244"
"United Kingdom"	"2023-01-03"	"7.705"
"United Kingdom"	"2023-01-04"	"7.328"
"United Kingdom"	"2023-01-05"	"7.115"
"United Kingdom"	"2023-01-06"	"6.751"
"United Kingdom"	"2023-01-07"	"6.001"
"United Kingdom"	"2023-01-08"	"5.328"
"United Kingdom"	"2023-01-09"	"4.827"
"United Kingdom"	"2023-01-10"	"4.442"
"United Kingdom"	"2023-01-11"	"4.165"
"United Kingdom"	"2023-01-12"	"3.954"
"United Kingdom"	"2023-01-13"	"3.723"
"United Kingdom"	"2023-01-14"	"3.516"
"United Kingdom"	"2023-01-15"	"3.395"
"United Kingdom"	"2023-01-16"	"3.294"
"United Kingdom"	"2023-01-17"	"3.242"
"United Kingdom"	"2023-01-18"	"3.261"
"United Kingdom"	"2023-01-19"	"3.28"
"United Kingdom"	"2023-01-20"	"3.3"
"United Kingdom"	"2023-01-21"	"3.443"
"United Kingdom"	"2023-01-22"	"3.577"
"United Kingdom"	"2023-01-23"	"3.712"
"United Kingdom"	"2023-01-24"	"3.857"
"United Kingdom"	"2023-01-25"	"3.96"
"United Kingdom"	"2023-01-26"	"4.088"
"United Kingdom"	"2023-01-27"	"4.314"
"United Kingdom"	"2023-01-28"	"4.5"
"United Kingdom"	"2023-01-29"	"4.702"
"United Kingdom"	"2023-01-30"	"4.86"
"United Kingdom"	"2023-01-31"	"4.983"
"United Kingdom"	"2023-02-01"	"5.09"
"United Kingdom"	"2023-02-02"	"5.183"
"United Kingdom"	"2023-02-03"	"5.272"
"United Kingdom"	"2023-02-04"	"5.301"
"United Kingdom"	"2023-02-05"	"5.332"
"United Kingdom"	"2023-02-06"	"5.355"
"United Kingdom"	"2023-02-07"	"5.431"
"United Kingdom"	"2023-02-08"	"5.475"
"United Kingdom"	"2023-02-09"	"5.553"
"United Kingdom"	"2023-02-10"	"5.789"
"United Kingdom"	"2023-02-11"	"6.034"
"United Kingdom"	"2023-02-12"	"6.177"
"United Kingdom"	"2023-02-13"	"6.422"
"United Kingdom"	"2023-02-14"	"6.608"
"United Kingdom"	"2023-02-15"	"6.739"
"United Kingdom"	"2023-02-16"	"6.871"
"United Kingdom"	"2023-02-17"	"6.872"
"United Kingdom"	"2023-02-18"	"6.863"
"United Kingdom"	"2023-02-19"	"6.853"
"United Kingdom"	"2023-02-20"	"6.72"
"United Kingdom"	"2023-02-21"	"6.55"
"United Kingdom"	"2023-02-22"	"6.453"
"United Kingdom"	"2023-02-23"	"6.316"
"United Kingdom"	"2023-02-24"	"6.257"
"United Kingdom"	"2023-02-25"	"6.213"
"United Kingdom"	"2023-02-26"	"6.243"
"United Kingdom"	"2023-02-27"	"6.263"
"United Kingdom"	"2023-02-28"	"6.341"
"United Kingdom"	"2023-03-01"	"6.352"
"United Kingdom"	"2023-03-02"	"6.417"
"United Kingdom"	"2023-03-03"	"6.483"
"United Kingdom"	"2023-03-04"	"6.562"
"United Kingdom"	"2023-03-05"	"6.65"
"United Kingdom"	"2023-03-06"	"6.752"
"United Kingdom"	"2023-03-07"	"6.796"
"United Kingdom"	"2023-03-08"	"6.927"
"United Kingdom"	"2023-03-09"	"7.149"
"United Kingdom"	"2023-03-10"	"7.331"
"United Kingdom"	"2023-03-11"	"7.488"
"United Kingdom"	"2023-03-12"	"7.502"
"United Kingdom"	"2023-03-13"	"7.601"
